"","country","total_cases","total_deaths","total_cases_per_100k","total_deaths_per_100k","death_case_ratio"
"1","United States",19463947.002,342636.995,5880.29950165323,103.514880652903,0.0176036748848932
"2","Brazil",7537457.291,192213.861,3546.04735046097,90.4283004475234,0.0255011542459432
"3","India",10223903.002,148133.436,740.86018226674,10.7342728479808,0.0144889320615642
"4","Mexico",1394837.427,123384.727,1081.83327707274,95.6969615005429,0.0884581418677404
"5","Italy",2060799.725,72566.714,3408.43106000698,120.020707941546,0.0352128899861921
"6","United Kingdom",2349818.861,71549.426,3461.418735149,105.396431936103,0.0304489112703568
"7","France",2630651.138,63543.424,3860.22072620014,93.2436987920074,0.0241550173955449
"8","Iran",1206545.141,54803.865,1436.48377382326,65.2481702839999,0.0454221422288252
"9","Russia",3046284.864,54604.711,2087.43353968624,37.4172837587504,0.0179250179933271
"10","Spain",1882305.136,50223.146,4025.90925510231,107.418199331606,0.0266817239349019
"11","Argentina",1595460.424,42838.141,3530.10951443539,94.7835037773552,0.0268500179356376
"12","Colombia",1605995.008,42417.152,3156.25782532295,83.3623188496941,0.0264117583110196
"13","Peru",1008177.993,37472.287,3057.69350311778,113.649344959333,0.0371683247007753
"14","Germany",1686255.846,31465.146,2012.62407254755,37.5551019947795,0.018659769853216
"15","Poland",1266678.289,27477.856,3346.87428106167,72.6032255733374,0.0216928451672546
"16","South Africa",1016045.429,27239.006,1713.1476500324,45.9275124775139,0.0268088465560136
"17","Indonesia",720707.138,21473.573,263.489908244524,7.85071977385091,0.0297951440575298
"18","Turkey",1340127.421,20131.284,1588.97586690163,23.8694649064591,0.0150219178300061
"19","Belgium",640861.285999999,19287.281,5529.61621851837,166.418637166236,0.0300958747568971
"20","Ukraine",1062998.146,18687.285,2430.61234686001,42.729656510889,0.01757979077416
"21","Chile",602321.849,16463.289,3150.84360607273,86.1221437786122,0.0273330430023965
"22","Romania",620518.573,15360.998,3225.53711512645,79.8484869434893,0.0247550978623165
"23","Canada",561451.002,15350.857,1487.59648792728,40.6729721356413,0.0273414010222035
"24","Ecuador",210217.575,14002.577,1191.50291956157,79.3659206509529,0.0666099254546153
"25","Iraq",592583.849,12787.716,1473.26447834437,31.7924421560737,0.0215795891527918
"26","Netherlands",781631.141,11221.282,4561.63953476632,65.4879788137327,0.014356237119268
"27","Czechia",683260.715,11188.002,6380.25831960499,104.473067561417,0.0163744259758883
"28","Pakistan",475475.71,9991.291,215.252248843352,4.52314978739574,0.0210132521806424
"29","Hungary",317409.425,9178.577,3285.69280616127,95.012882556015,0.0289171532949912
"30","Philippines",470749.003,9141.568,429.589653177827,8.34228644478196,0.0194191977927567
"31","Bolivia",156247.437,9118.435,1338.53378587512,78.1154146023281,0.0583589412733855
"32","Sweden",412492.862,8407.001,4084.38295045087,83.2436502836344,0.0203809611619413
"33","Bangladesh",510263.434,7479.414,309.833836708223,4.54152773163283,0.0146579462717291
"34","Egypt",133973.433,7465.573,130.917295721166,7.29527195267851,0.0557242793054351
"35","Switzerland",437931.577,7379.433,5060.09135238552,85.265843044719,0.0168506529046203
"36","Bulgaria",199002.718,7300.722,2863.98925227155,105.069868150356,0.0366865441506181
"37","Morocco",433652.859,7277.563,1174.87483933459,19.7167515050843,0.0167820016609184
"38","Portugal",399388.292,6688.148,3916.83601382289,65.5912541176283,0.0167459791234942
"39","Saudi Arabia",362335.008,6195.139,1040.77782568653,17.7950326517878,0.0170978206996769
"40","Austria",354137.864,5981.134,3932.06901758749,66.4098196837805,0.0168892812884871
"41","Guatemala",136064.287,4779.289,759.47519271927,26.6767387267174,0.0351252272390917
"42","Greece",136439.707,4670.57,1309.01826681158,44.8099866296411,0.0342317504390419
"43","Tunisia",133536.565,4523.011,1129.88307939219,38.2702190729914,0.0338709551200452
"44","Bosnia and Herzegovina",110033.429,3977.567,3353.84436489104,121.237162107586,0.0361487144056921
"45","Panama",235453.71,3887.577,5456.92630519185,90.0993286313424,0.0165110033730197
"46","Jordan",289757.863,3775.149,2839.88912236821,36.9998745484233,0.0130286334973419
"47","Croatia",206330.143,3735.143,5025.98473473596,90.9841452494697,0.0181027500184498
"48","Israel",407719.141,3257.431,4710.49863896433,37.6340543011696,0.00798939925167752
"49","Japan",224480.565,3147.998,177.488023107035,2.48899917801303,0.0140234768208107
"50","Honduras",120029.421,3087.003,1211.85433083268,31.1673415040757,0.0257187194129679
"51","Serbia",328981.858,3072.854,4834.70081104007,45.1585075734107,0.00934049682459997
"52","Moldova",142289.152,2919.005,3527.27955115106,72.3607281474817,0.0205145997356144
"53","Armenia",158067.431,2779.282,5334.28784226963,93.7921878596156,0.0175828884066573
"54","Algeria",98583.134,2736.424,224.813658366119,6.24027118351552,0.0277575269619649
"55","Kazakhstan",198721.576,2718.282,1058.34093273118,14.4768835131741,0.0136788468304015
"56","Myanmar",122530.567,2618.863,225.199468683892,4.81321984053092,0.0213731403038394
"57","Slovenia",116754.422,2598.865,5616.07700492368,125.009620324282,0.0222592425664186
"58","Azerbaijan",215436.002,2533.153,2124.78827912527,24.9838177169247,0.0117582622054043
"59","North Macedonia",82037.857,2456.157,3937.72893087195,117.892895199148,0.0299393120422441
"60","Georgia",222920.149,2412.737,5588.1265925912,60.4821046958331,0.0108233240055837
"61","Dominican Republic",167681.142,2406.279,1545.74692032673,22.1819717431128,0.0143503256913649
"62","Ireland",87554.1360000001,2211.283,1773.14202530846,44.7827937808692,0.0252561797880114
"63","Paraguay",105551.286,2206.01,1479.85758209219,30.9288569413658,0.0208998874727116
"64","Afghanistan",51184.28,2167.566,131.483332413267,5.56809240856167,0.0423482756815179
"65","Costa Rica",165563.001,2130.582,3250.08433262389,41.8243879112246,0.0128687085105446
"66","China",17560.291,2090.168,1.22003758412178,0.145218750482475,0.119028095832808
"67","Ethiopia",123113.855,1910.44,107.089438052744,1.66177840855917,0.0155176685840924
"68","Slovakia",170116.43,1900.292,3115.88926235653,34.806158571174,0.0111705377311292
"69","Nepal",258873.426,1833.573,888.47558730524,6.29297828368846,0.00708289386180565
"70","Kenya",96044.004,1661.714,178.615737391508,3.09033629464045,0.0173015902169176
"71","Lithuania",134199.575,1653.866,4929.65575686067,60.7527262882624,0.012323928745676
"72","Oman",128544.574,1494.997,2517.21341426876,29.2756542387512,0.0116301836279764
"73","Sudan",24917.136,1469.863,56.8245185569684,3.35208096627563,0.0589900460470256
"74","Libya",98879.293,1441.008,1439.02143805083,20.9714424677648,0.0145734051718998
"75","Lebanon",173741.57,1414.739,2545.4991779287,20.7274342086564,0.00814277780498933
"76","Belarus",188615.282,1394.849,1996.07233154636,14.7613675098983,0.0073952067150105
"77","Kyrgyzstan",80515.146,1349.009,1234.10160738703,20.6770310679132,0.0167547233908015
"78","Palestine",134291.719,1329.145,2632.44007154092,26.0544327300499,0.00989744572411051
"79","El Salvador",45227.997,1310.146,697.295643474508,20.1989731739735,0.0289675883723084
"80","Nigeria",85040.842,1263.577,41.2540081396399,0.612971539522879,0.0148584723561415
"81","Denmark",156730.717,1206.447,2705.8912990446,20.8288107305631,0.00769757851615009
"82","Albania",56724.288,1159.445,1971.09903398429,40.2892834804365,0.0204400097538465
"83","Venezuela",112564.005,1018.434,395.851141634374,3.58150246679,0.00904759918590317
"84","Kuwait",149862.859,931.006,3509.20613979936,21.8005447993625,0.00621238648596714
"85","Australia",28340.991,908.727000000001,111.14165983755,3.5636519244933,0.0320640516769509
"86","South Korea",57219.29,842.421,111.605620865852,1.64313326389461,0.01472267481823
"87","Syria",11133.153,686.297,63.6156288303919,3.92154991666884,0.0616444416060751
"88","Montenegro",47047.584,670.156,7490.91395435482,106.702204559422,0.0142442170888095
"89","United Arab Emirates",203347.717,660.133,2056.01105112028,6.67448232629621,0.00324632609472572
"90","Uzbekistan",76816.284,613.013000000001,229.513362420176,1.83157356111211,0.00798024804219898
"91","Yemen",2094.423,608.157999999999,7.02214593672199,2.03902183493257,0.290370187875133
"92","Democratic Republic of Congo",17028.433,580.431,19.0131376234343,0.648081622302393,0.0340859901788967
"93","Latvia",37432.139,574.022,1984.52440406701,30.4326896058853,0.0153350039654426
"94","Finland",35279.432,540.722999999999,636.730329895873,9.75907815557479,0.0153268624052677
"95","Luxembourg",45769.857,477.148,7311.75907702532,76.2246475903229,0.0104249397152366
"96","Malaysia",107028.856,456.871,330.683008755052,1.41157705070611,0.00426867124507058
"97","Cameroon",26275.866,448.007,98.9828999349955,1.68767157098371,0.0170501326197964
"98","Norway",47769.001,428.176999999999,881.144966411755,7.89813478166077,0.00896349077930264
"99","Angola",17304.285,401.439,52.6505930031362,1.22143165144275,0.0231988204077776
"100","Senegal",18729.284,394.013,111.857156593464,2.35316917832313,0.02103726976429
"101","Zambia",20053.14,384.153999999999,109.07956916346,2.08961553215206,0.0191568003813866
"102","Zimbabwe",13267.428,352.164,89.2652436495178,2.36941216222081,0.02654350187542
"103","Bahrain",91941.7099999999,351.29,5403.30445238347,20.6448936078934,0.00382079036815826
"104","Ghana",54489.571,333.878,175.360175870037,1.07449744464195,0.00612737435572763
"105","Mauritania",13819.856,329.873,297.222936730858,7.09456175290237,0.0238694961799891
"106","Jamaica",12725.575,297.587,429.749513788679,10.0496730843071,0.0233849551002607
"107","Madagascar",17685.437,260.712,63.8670501796991,0.941503813926095,0.0147416204643402
"108","Mali",6750.852,257.431,33.3361677844972,1.27121184243572,0.0381331126797033
"109","Uganda",34120.996,248.294,74.596086661857,0.542825911108197,0.00727686847124861
"110","Qatar",143254.57,244.457,4972.28693605826,8.48496733841014,0.00170645166852269
"111","Belize",10613.151,236.578,2669.16259453097,59.4983665349667,0.0222910236554629
"112","Haiti",9919.572,235.578,86.9944599151786,2.06601463025802,0.0237488069041688
"113","Estonia",26047.577,214.157,1963.57415801571,16.14404099691,0.00822176281502115
"114","Malta",12437.72,212.012,2816.90179123475,48.0165964954398,0.0170458894395436
"115","Sri Lanka",41552.714,193.72,194.05141209298,0.904673508225047,0.00466203001806332
"116","Namibia",22426.43,193.426,882.612018657838,7.61245157258247,0.00862491265885832
"117","Malawi",6405.142,188.16,33.4822638108663,0.983588304311222,0.029376397900312
"118","Eswatini",8734.425,173.298,752.861233411828,14.9373709234212,0.0198408023424553
"119","Bahamas",7829.856,169.721,1991.07331760111,43.1587700382456,0.0216761329965711
"120","Nicaragua",6013.455,164.46,90.775243133349,2.48258222364857,0.0273486706061657
"121","Guyana",6301.428,162.735,801.138630414247,20.689484196354,0.0258250986919156
"122","Uruguay",17366.29,161.605,499.932493255803,4.65220784477306,0.00930567208079562
"123","Mozambique",18332.425,161.575,58.6535589730234,0.516950092039993,0.00881361849291624
"124","Cuba",11386.997,142.878,100.533089494691,1.26143589576975,0.0125474697147984
"125","Cote d'Ivoire",22227.286,135.588,84.2636070781733,0.514013899695868,0.00610006997705433
"126","Somalia",4696.142,127.875,29.54808588493,0.8045884222699,0.0272297984175095
"127","Trinidad and Tobago",7116.717,125.445,508.521812573285,8.96361605755235,0.0176268074169593
"128","Gambia",3793.439,123.447,156.970062863517,5.10815736072537,0.0325422393769875
"129","Suriname",6041.858,120.019,1029.91950688163,20.4589232809554,0.0198645847022555
"130","Cyprus",20591.997,114.3,2350.95564671269,13.0494497653268,0.00555070010936773
"131","Cape Verde",11743.28,112.023,2112.14630531594,20.1484564415059,0.00953932802419767
"132","Congo",6887.299,106.165,124.813051322812,1.92394400093366,0.0154146059289716
"133","Chad",2030,103.592,12.3585621914811,0.630664125389121,0.0510305418719212
"134","Niger",3151.428,98.299,13.0188597870435,0.406082860914668,0.0311918914219205
"135","Tajikistan",13163.579,88.8990000000002,138.017122051761,0.932085729365808,0.00675340650137779
"136","Equatorial Guinea",5249.142,85.717,374.140992241541,6.1096162824264,0.0163297163612644
"137","Andorra",7886.297,83.442,10206.816799327,107.994564162299,0.0105806311885033
"138","Liberia",1777.859,83.016,35.1516911815445,1.6413859564381,0.0466943666511236
"139","Guinea",13680.863,80.1690000000001,104.173301457908,0.610449019523037,0.00585993734459589
"140","Burkina Faso",6420.426,80.1530000000001,30.7149242334145,0.383447036393048,0.0124840625840092
"141","Rwanda",8041.427,78.156,62.0853709201264,0.603418304939335,0.0097191704905112
"142","Sierra Leone",2567.144,76.0170000000001,32.1818832553904,0.952954029623973,0.0296115060160241
"143","Togo",3582.147,68.0240000000001,43.2692450551334,0.82167122835283,0.018989728785558
"144","Gabon",9521.131,64.0280000000001,427.776035526353,2.87672168387153,0.00672483132518606
"145","Central African Republic",4953.425,63.009,102.560394255288,1.304597905819,0.0127202894966614
"146","South Sudan",3498.71,62.4380000000001,31.2559827024578,0.557794457950519,0.0178460060993909
"147","Djibouti",5814.008,61.01,588.461156961219,6.17508871439531,0.0104936216118038
"148","Thailand",6479.008,60.865,9.28224934397544,0.0871991678851248,0.00939418503573387
"149","San Marino",2300.14,57.44,6777.47657493075,169.249808474277,0.0249723929847748
"150","Lesotho",2902.715,51.012,135.498298052704,2.38123246004672,0.0175738920286697
"151","Maldives",13665.862,48.0270000000001,2528.17764392036,8.88497101057828,0.00351437765140611
"152","Guinea-Bissau",2447.718,45.013,124.376041032562,2.28724825939865,0.0183897818294428
"153","Benin",3216.993,44.011,26.5358447498754,0.363031272771425,0.0136807882392035
"154","Botswana",14230.158,39.746,605.120204114176,1.6901504278956,0.00279308212881403
"155","Vietnam",1433.439,35.002,1.47263187507055,0.0359590194568582,0.0244181998675911
"156","Liechtenstein",2048.585,34.725,5371.64695702336,91.0533078113118,0.0169507245244889
"157","Singapore",58448.7060000001,29.016,999.064601853259,0.495970919995631,0.000496435284640861
"158","Iceland",5713.864,28.438,1674.39238095238,8.33347985347986,0.00497701730387703
"159","New Zealand",2148.15,25.008,44.54678983782,0.518597919262715,0.0116416451365128
"160","Tanzania",506.571,21,0.848041640726061,0.0351557322769114,0.0414551958165785
"161","Sao Tome and Principe",1011.159,17.006,461.377252339604,7.75959226322201,0.0168183243189251
"162","Mauritius",518.440999999999,9.575,40.7654074999586,0.752889483686871,0.0184688325190331
"163","Papua New Guinea",779.291,9.009,8.71005530663984,0.100692665843079,0.0115605082055355
"164","Comoros",743.142,8.00599999999999,85.4584030496955,0.920658467447491,0.0107731765934371
"165","Barbados",360.859,7.00499999999999,125.572517755793,2.43761548660095,0.0194120141107746
"166","Taiwan",758.008999999999,6.006,3.18266851830276,0.0252175200042827,0.00792338877242883
"167","Saint Lucia",323.018,5.005,175.90794482353,2.72560434354051,0.0154944925669777
"168","Antigua and Barbuda",156.152,5.005,159.455926803365,5.11089780246712,0.0320521030790511
"169","Brunei",144.731,3.003,33.0826569260978,0.686426672579277,0.0207488374985317
"170","Monaco",819.154,3.003,2087.33564366527,7.65212516563043,0.00366597733759464
"171","Burundi",800.423,2.002,6.73145859805172,0.0168365728037545,0.00250117750239561
"172","Fiji",46.161,2.002,5.14934563676035,0.223326833578003,0.0433699443252962
"173","Eritrea",1120.861,1.287,31.6053594223144,0.036290046291662,0.00114822444531481
"174","Mongolia",1162.865,0.429,35.4716724440654,0.0130860826308334,0.000368916426240363
"175","Bhutan",625.005,0,80.999906688854,0,0
"176","Cambodia",365.157999999999,0,2.1840937459608,0,0
"177","Seychelles",220.87,0,224.598332316453,0,0
"178","Grenada",118.587,0,105.392866982465,0,0
"179","Saint Vincent and the Grenadines",111.311,0,100.328084580926,0,0
"180","Dominica",84.721,0,117.682765901293,0,0
"181","Timor",42.011,0,3.186412447419,0,0
"182","Laos",37.436,0,0.51454486777368,0,0
"183","Saint Kitts and Nevis",30.021,0,56.4389381861933,0,0
"184","Vatican",26.295,0,3250.30902348578,0,0
"185","Solomon Islands",15.288,0,2.2257227629943,0,0
"186","Marshall Islands",2.574,0,4.34841369057675,0,0
"187","Samoa",1.287,0,0.648656821732775,0,0
"188","Vanuatu",0.286,0,0.0931141136252646,0,0
"189","Cayman Islands",0,0,0,0,NA
"190","Hong Kong",0,0,0,0,NA
