"location","people_fully_vaccinated_per_hundred","Ladder.score"
"Afghanistan",8.95,2.523
"Albania",34.05,5.117
"Algeria",12.08,4.887
"Argentina",66.65,5.929
"Armenia",17.42,5.283
"Australia",74.07,7.183
"Austria",67.12,7.268
"Azerbaijan",44.97,5.171
"Bahrain",66.54,6.647
"Bangladesh",23.15,5.025
"Belarus",28.72,5.534
"Belgium",74.94,6.834
"Benin",5.24,5.045
"Bolivia",35.85,5.716
"Bosnia and Herzegovina",22.08,5.813
"Botswana",21.23,3.467
"Brazil",64.44,6.33
"Bulgaria",26.32,5.266
"Burkina Faso",1.38,4.834
"Burundi",0.01,3.775
"Cambodia",79.16,4.83
"Cameroon",2.25,5.142
"Canada",76.54,7.103
"Chad",0.45,4.355
"Chile",84.51,6.172
"Colombia",49.49,6.012
"Comoros",27.16,4.289
"Costa Rica",63.79,7.069
"Croatia",48.73,5.882
"Cyprus",65.59,6.223
"Denmark",76.97,7.62
"Dominican Republic",51.37,5.545
"Ecuador",64.3,5.764
"Egypt",15.81,4.283
"El Salvador",62.81,6.061
"Estonia",59.98,6.189
"Ethiopia",1.23,4.275
"Finland",73.09,7.842
"France",70.38,6.69
"Gabon",6.23,4.852
"Gambia",9.09,5.051
"Georgia",25.85,4.891
"Germany",68.56,7.155
"Ghana",2.65,5.088
"Greece",64.55,5.723
"Guatemala",23.09,6.435
"Guinea",6.03,4.984
"Haiti",0.58,3.615
"Honduras",38.67,5.919
"Hungary",60.97,5.992
"Iceland",82.08,7.554
"India",34.92,3.819
"Indonesia",36.12,5.345
"Iran",56.63,4.721
"Iraq",11.8,4.854
"Ireland",76.35,7.085
"Israel",62.27,7.157
"Italy",73.22,6.483
"Jamaica",17.7,6.309
"Japan",77.57,5.94
"Jordan",36.94,4.395
"Kazakhstan",43.19,6.152
"Kenya",5.46,4.607
"Kosovo",43.08,6.372
"Kyrgyzstan",13.92,5.744
"Laos",42,5.03
"Latvia",65.11,6.032
"Lebanon",25.45,4.584
"Lesotho",26.51,3.512
"Liberia",9.19,4.625
"Libya",10.07,5.41
"Lithuania",66.77,6.255
"Madagascar",1.9,4.208
"Malawi",3.16,3.6
"Malaysia",77.64,5.384
"Maldives",67.11,5.198
"Mali",1.67,4.723
"Malta",83.94,6.602
"Mauritania",14.53,4.227
"Mauritius",71.85,6.049
"Mexico",50.22,6.317
"Moldova",23.58,5.766
"Mongolia",64.7,5.677
"Montenegro",41.51,5.581
"Morocco",61.06,4.918
"Mozambique",12.79,4.794
"Myanmar",21.19,4.426
"Namibia",11.9,4.574
"Nepal",28.43,5.269
"New Zealand",72.43,7.277
"Nicaragua",34.65,5.972
"Niger",1.85,5.074
"Nigeria",1.79,4.759
"North Macedonia",37.93,5.101
"Norway",70.59,7.392
"Pakistan",23.55,4.934
"Panama",55.67,6.18
"Paraguay",37.45,5.653
"Peru",56.67,5.84
"Philippines",34.85,5.88
"Poland",54.4,6.166
"Portugal",88.59,5.929
"Romania",39.43,6.14
"Russia",40.54,5.477
"Rwanda",26.01,3.415
"Saudi Arabia",64.19,6.494
"Senegal",5.41,5.132
"Serbia",45.79,6.078
"Sierra Leone",4.44,3.849
"Singapore",91.91,6.377
"Slovakia",43.19,6.331
"Slovenia",55.79,6.461
"South Africa",25.16,4.956
"South Korea",80.8,5.845
"Spain",80.6,6.491
"Sri Lanka",64.05,4.325
"Sweden",70.99,7.363
"Switzerland",65.77,7.571
"Tajikistan",26.21,5.466
"Tanzania",1.75,3.623
"Thailand",60.72,5.985
"Togo",7.66,4.107
"Tunisia",44.2,4.596
"Turkey",59.66,4.948
"Turkmenistan",52.41,5.066
"Uganda",1.94,4.636
"Ukraine",27.75,4.875
"United Arab Emirates",88.4,6.561
"United Kingdom",68.3,7.064
"United States",59.68,6.951
"Uruguay",76.37,6.431
"Venezuela",34.34,4.892
"Vietnam",56.04,5.411
"Yemen",1.2,3.658
"Zambia",3.95,4.073
"Zimbabwe",19.29,3.145
